,Open,High,Low,Close,Volume
2020-10-04,9.583333333333334,10.266666666666666,9.093333333333334,9.386666666666667,172633454.33333334
2020-10-11,9.786,10.15,9.538,9.776,47299194.4
2020-10-18,9.745999999999999,9.89,9.440000000000001,9.664,16064479.2
2020-10-25,9.553999999999998,9.708,9.338,9.442,12000228.2
2020-11-01,10.378,10.754999999999999,10.006,10.526,29729813.4
2020-11-08,10.948,11.904,10.824000000000002,11.494,37530388.6
2020-11-15,15.134,15.988,14.118,15.002,64223156.2
2020-11-22,17.612000000000002,18.548000000000002,16.938,17.762,80046362.2
2020-11-29,24.0325,27.2425,22.2525,25.3925,152383754.0
2020-12-06,25.4,26.51,23.344,24.634,102329294.4
2020-12-13,27.288240000000002,29.080000000000002,25.645999999999997,27.68,86678373.6
2020-12-20,26.716,27.163999999999998,25.84202,26.558,52578778.0
2020-12-27,28.2419,29.1675,26.947499999999998,28.247500000000002,57001155.75
2021-01-03,25.935,26.350575,24.4725,24.735,44222660.25
2021-01-10,24.186,25.052,23.402,24.342000000000002,36061511.2
2021-01-17,25.674,26.81396,24.956,25.634000000000004,47141503.0
2021-01-24,26.5925,28.5425,25.705,27.88,68217720.5
2021-01-31,35.744,40.291999999999994,32.778,36.288,111051125.4
2021-02-07,33.402,34.22998,31.451999999999998,32.568,48364004.2
2021-02-14,36.284,37.069,34.194,34.988,54853984.4
2021-02-21,27.505,29.11,26.425,27.2725,240110767.75
2021-02-28,26.53,27.163999999999998,24.6072,25.8,138425534.6
2021-03-07,24.878,25.379559999999998,23.108,24.312,114636557.6
2021-03-14,24.774,25.863999999999997,24.106,25.036,88148526.8
2021-03-21,25.472,26.01,24.602,25.182,64537007.8
2021-03-28,23.204,23.672,22.304000000000002,22.904,59631749.6
2021-04-04,22.572499999999998,23.0975,21.84,22.5325,55733591.5
2021-04-11,23.398000000000003,23.912,23.01802,23.412,46012425.8
2021-04-18,23.986,24.7457,22.898000000000003,23.616,73361033.0
2021-04-25,22.318,22.916,21.89,22.524,43806853.0
2021-05-02,23.716,24.076,23.22,23.65,28980296.2
2021-05-09,21.616,21.798,20.607999999999997,20.986,58485055.2
2021-05-16,18.887999999999998,19.854,18.019,19.204,120680745.6
2021-05-23,20.387999999999998,21.023,20.116,20.746000000000002,47340262.0
2021-05-30,21.814,22.663999999999998,21.571,22.094,65504461.8
2021-06-06,23.515,24.234975,23.005,23.7925,57467614.25
2021-06-13,24.284,24.766,23.872,24.364,41546359.2
2021-06-20,24.824,25.408,24.458,25.006,57387053.6
2021-06-27,25.804000000000002,26.228,25.445,26.080000000000002,68718055.6
2021-07-04,26.387999999999998,26.666000000000004,25.686,25.906,38944256.2
2021-07-11,23.555,24.015,23.05,23.485,38201690.75
2021-07-18,22.41,22.574,21.812,21.96,26675254.8
2021-07-25,21.886000000000003,22.294,21.456,22.024,21765577.6
2021-08-01,22.028,22.456200000000003,21.622,22.052,19856910.2
2021-08-08,22.2,22.528,21.814,22.196,19345259.4
2021-08-15,23.476,24.17,22.913,23.598000000000003,67577329.2
2021-08-22,24.419999999999998,25.11,23.798,24.384,58654334.6
2021-08-29,24.718,25.394,24.4,24.970000000000002,45211802.2
2021-09-05,26.137999999999998,26.618000000000002,25.924,26.29,47377039.4
2021-09-12,26.240000000000002,26.615,25.672525,26.1725,40432015.75
2021-09-19,26.856,27.633799999999997,26.410000000000004,27.302,83740661.8
2021-09-26,27.410000000000004,28.193780000000004,26.858719999999998,27.586000000000002,56998710.6
2021-10-03,25.951999999999998,26.124000000000002,24.892000000000003,25.139999999999997,49351427.8
2021-10-10,23.94,24.2331,23.218,23.438,61425467.8
2021-10-17,23.913999999999998,24.266,23.675,23.94,25843717.8
2021-10-24,24.381999999999998,24.866,24.156,24.476,24679039.8
2021-10-31,25.386000000000003,26.020999999999997,25.064,25.502,31599925.8
2021-11-07,26.254,26.560000000000002,25.63956,26.214,26605479.2
2021-11-14,24.362000000000002,24.61698,23.447,23.868000000000002,69918417.0
2021-11-21,22.688,22.90778,22.1204,22.387999999999998,34769541.8
2021-11-28,20.72,21.2275,20.159625,20.845,40103047.5
2021-12-05,20.294,20.596,19.483999999999998,19.954,43528333.0
2021-12-12,19.308,19.676,18.782999999999998,19.246000000000002,35592769.0
2021-12-19,18.432,19.018800000000002,18.006999999999998,18.66,39009559.4
2021-12-26,18.5625,19.05875,18.32625,18.6675,33699248.5
2022-01-02,18.582,18.96702,18.282,18.516000000000002,24576813.6
2022-01-09,17.714,18.097299999999997,17.009999999999998,17.392000000000003,44040407.8
2022-01-16,16.497999999999998,16.8697,15.925999999999998,16.426,47162786.6
2022-01-23,14.8725,15.256975,14.382525,14.42,53552789.25
2022-01-30,12.963999999999999,13.354,12.27,12.84,67111380.8
2022-02-06,13.302000000000001,13.744,12.838999999999999,13.324000000000002,50696521.4
2022-02-13,13.203,13.752699999999999,13.032,13.338,38848983.4
2022-02-20,12.968,13.39,12.464,12.838,87391901.4
2022-02-27,10.7175,11.55125,10.36,11.0525,98076539.0
2022-03-06,11.974,12.147,11.299000000000001,11.678,57351808.6
2022-03-13,11.402,11.827000000000002,11.1558,11.412,49210855.2
2022-03-20,11.318000000000001,11.894,11.098980000000001,11.64,51123070.6
2022-03-27,13.002,13.379,12.7,13.080000000000002,34599308.4
2022-04-03,13.674000000000001,14.041,13.415000000000001,13.812000000000001,30484252.2
2022-04-10,13.562000000000001,13.89,13.143,13.412,35602433.6
2022-04-17,12.65,12.969999999999999,12.299025,12.61,24189840.25
2022-04-24,12.572,12.932999999999998,12.155,12.428,30184451.4
2022-05-01,11.274,11.536,10.808,11.028,39046155.6
2022-05-08,10.48,10.719,10.02,10.374,45158824.8
2022-05-15,7.337999999999999,7.76464,6.973999999999999,7.428,96417807.0
